id,date,dt, no2 ,
12,19/4/2024,19/4/2024,0.0000689,","
12,20/4/2024,20/4/2024,0.0000894,","
12,21/4/2024,21/4/2024,0.0000923,","
12,22/4/2024,22/4/2024,0.000103,","
12,23/4/2024,23/4/2024,0.0000882,","
12,24/4/2024,24/4/2024,0.000101,","
12,25/4/2024,25/4/2024,0.0001,","
12,26/4/2024,26/4/2024,0.0000822,","
12,27/4/2024,27/4/2024,0.0000624,","
12,28/4/2024,28/4/2024,0.0000929,","
12,29/4/2024,29/4/2024,0.0000943,","
13,15/4/2024,15/4/2024,0.0000633,","
13,16/4/2024,16/4/2024,0.0000841,","
13,17/4/2024,17/4/2024,0.0000523,","
13,18/4/2024,18/4/2024,0.00012,","
13,19/4/2024,19/4/2024,0.0000686,","
13,20/4/2024,20/4/2024,0.0000909,","
13,21/4/2024,21/4/2024,0.000084,","
13,22/4/2024,22/4/2024,0.000115,","
13,23/4/2024,23/4/2024,0.0000876,","
13,24/4/2024,24/4/2024,0.0000979,","
13,25/4/2024,25/4/2024,0.0000985,","
13,26/4/2024,26/4/2024,0.0000824,","
13,27/4/2024,27/4/2024,0.0000612,","
13,28/4/2024,28/4/2024,0.0000926,","
13,29/4/2024,29/4/2024,0.0000998,","
14,15/4/2024,15/4/2024,0.0000738,","
14,16/4/2024,16/4/2024,0.0000841,","
14,17/4/2024,17/4/2024,0.0000526,","
14,18/4/2024,18/4/2024,0.000106,","
14,19/4/2024,19/4/2024,0.0000665,","
14,20/4/2024,20/4/2024,0.0000913,","
14,21/4/2024,21/4/2024,0.0000813,","
14,22/4/2024,22/4/2024,0.000115,","
14,23/4/2024,23/4/2024,0.0000869,","
14,24/4/2024,24/4/2024,0.0000835,","
14,25/4/2024,25/4/2024,0.0000872,","
14,26/4/2024,26/4/2024,0.0000673,","
14,27/4/2024,27/4/2024,0.000081,","
14,28/4/2024,28/4/2024,0.0000921,","
14,29/4/2024,29/4/2024,0.0000995,","
15,15/4/2024,15/4/2024,0.000074,","
15,16/4/2024,16/4/2024,0.0000762,","
15,17/4/2024,17/4/2024,0.000057,","
15,18/4/2024,18/4/2024,0.000104,","
15,19/4/2024,19/4/2024,0.0000665,","
15,20/4/2024,20/4/2024,0.0000903,","
15,21/4/2024,21/4/2024,0.0000809,","
15,22/4/2024,22/4/2024,0.000113,","
15,23/4/2024,23/4/2024,0.0000868,","
15,24/4/2024,24/4/2024,0.0000726,","
15,25/4/2024,25/4/2024,0.000087,","
15,26/4/2024,26/4/2024,0.0000492,","
15,27/4/2024,27/4/2024,0.000102,","
15,28/4/2024,28/4/2024,0.0000919,","
15,29/4/2024,29/4/2024,0.0000898,","
16,15/4/2024,15/4/2024,0.0000739,","
16,16/4/2024,16/4/2024,0.0000724,","
16,17/4/2024,17/4/2024,0.0000668,","
16,18/4/2024,18/4/2024,0.000101,","
16,19/4/2024,19/4/2024,0.0000665,","
16,20/4/2024,20/4/2024,0.0000849,","
16,21/4/2024,21/4/2024,0.0000803,","
16,22/4/2024,22/4/2024,0.0000754,","
16,23/4/2024,23/4/2024,0.0000854,","
16,24/4/2024,24/4/2024,0.0000702,","
16,25/4/2024,25/4/2024,0.0000836,","
16,26/4/2024,26/4/2024,0.0000458,","
16,27/4/2024,27/4/2024,0.000102,","
16,28/4/2024,28/4/2024,0.00009,","
16,29/4/2024,29/4/2024,0.0000886,","
17,15/4/2024,15/4/2024,0.0000721,","
17,16/4/2024,16/4/2024,0.0000808,","
17,17/4/2024,17/4/2024,0.0000917,","
17,18/4/2024,18/4/2024,0.000107,","
17,19/4/2024,19/4/2024,0.0000442,","
17,20/4/2024,20/4/2024,0.0000888,","
17,21/4/2024,21/4/2024,0.0000921,","
17,22/4/2024,22/4/2024,0.000115,","
17,23/4/2024,23/4/2024,0.0001,","
17,24/4/2024,24/4/2024,0.0000859,","
17,25/4/2024,25/4/2024,0.0000832,","
17,26/4/2024,26/4/2024,0.0000785,","
17,27/4/2024,27/4/2024,0.0000849,","
17,28/4/2024,28/4/2024,0.00011,","
17,29/4/2024,29/4/2024,0.000126,","
18,15/4/2024,15/4/2024,0.0000661,","
18,16/4/2024,16/4/2024,0.0000815,","
18,17/4/2024,17/4/2024,0.0000949,","
18,18/4/2024,18/4/2024,0.000112,","
18,19/4/2024,19/4/2024,0.0000675,","
18,20/4/2024,20/4/2024,0.0000894,","
18,21/4/2024,21/4/2024,0.0001,","
18,22/4/2024,22/4/2024,0.000114,","
18,23/4/2024,23/4/2024,0.0000912,","
18,24/4/2024,24/4/2024,0.0000986,","
18,25/4/2024,25/4/2024,0.0000906,","
18,26/4/2024,26/4/2024,0.0000794,","
18,27/4/2024,27/4/2024,0.0000851,","
18,28/4/2024,28/4/2024,0.000105,","
18,29/4/2024,29/4/2024,0.000126,","
19,15/4/2024,15/4/2024,0.0000661,","
19,16/4/2024,16/4/2024,0.0000817,","
19,17/4/2024,17/4/2024,0.0000983,","
19,18/4/2024,18/4/2024,0.000115,","
19,19/4/2024,19/4/2024,0.0000729,","
19,20/4/2024,20/4/2024,0.0000894,","
19,21/4/2024,21/4/2024,0.0000989,","
19,22/4/2024,22/4/2024,0.000111,","
19,23/4/2024,23/4/2024,0.0000889,","
19,24/4/2024,24/4/2024,0.000105,","
19,25/4/2024,25/4/2024,0.0000943,","
19,26/4/2024,26/4/2024,0.0000828,","
19,27/4/2024,27/4/2024,0.000075,","
19,28/4/2024,28/4/2024,0.000102,","
19,29/4/2024,29/4/2024,0.000113,","
2,15/4/2024,15/4/2024,0.0000679,","
2,16/4/2024,16/4/2024,0.0000828,","
2,17/4/2024,17/4/2024,0.0000665,","
2,18/4/2024,18/4/2024,0.000112,","
2,19/4/2024,19/4/2024,0.0000691,","
2,20/4/2024,20/4/2024,0.0000912,","
2,21/4/2024,21/4/2024,0.0000673,","
2,22/4/2024,22/4/2024,0.0000941,","
2,23/4/2024,23/4/2024,0.0000859,","
2,24/4/2024,24/4/2024,0.0000777,","
2,25/4/2024,25/4/2024,0.0000948,","
2,26/4/2024,26/4/2024,0.0000674,","
2,27/4/2024,27/4/2024,0.000074,","
2,28/4/2024,28/4/2024,0.0000755,","
2,29/4/2024,29/4/2024,0.000106,","
20,15/4/2024,15/4/2024,0.0000672,","
20,16/4/2024,16/4/2024,0.0000837,","
20,17/4/2024,17/4/2024,0.0000633,","
20,18/4/2024,18/4/2024,0.000117,","
20,19/4/2024,19/4/2024,0.0000712,","
20,20/4/2024,20/4/2024,0.0000904,","
20,21/4/2024,21/4/2024,0.0000867,","
20,22/4/2024,22/4/2024,0.000111,","
20,23/4/2024,23/4/2024,0.000088,","
20,24/4/2024,24/4/2024,0.000105,","
20,25/4/2024,25/4/2024,0.0000958,","
20,26/4/2024,26/4/2024,0.0000826,","
20,27/4/2024,27/4/2024,0.0000647,","
20,28/4/2024,28/4/2024,0.0000997,","
20,29/4/2024,29/4/2024,0.000102,","
21,15/4/2024,15/4/2024,0.0000758,","
21,16/4/2024,16/4/2024,0.0000841,","
21,17/4/2024,17/4/2024,0.0000523,","
21,18/4/2024,18/4/2024,0.000111,","
21,19/4/2024,19/4/2024,0.0000682,","
21,20/4/2024,20/4/2024,0.0000913,","
21,21/4/2024,21/4/2024,0.0000813,","
21,22/4/2024,22/4/2024,0.000114,","
21,23/4/2024,23/4/2024,0.0000855,","
21,24/4/2024,24/4/2024,0.0000976,","
21,25/4/2024,25/4/2024,0.0000892,","
21,26/4/2024,26/4/2024,0.0000797,","
21,27/4/2024,27/4/2024,0.0000617,","
21,28/4/2024,28/4/2024,0.0000936,","
21,29/4/2024,29/4/2024,0.000101,","
22,15/4/2024,15/4/2024,0.0000757,","
22,16/4/2024,16/4/2024,0.0000802,","
22,17/4/2024,17/4/2024,0.0000557,","
22,18/4/2024,18/4/2024,0.000104,","
22,19/4/2024,19/4/2024,0.0000665,","
22,20/4/2024,20/4/2024,0.0000913,","
22,21/4/2024,21/4/2024,0.0000813,","
22,22/4/2024,22/4/2024,0.000111,","
22,23/4/2024,23/4/2024,0.0000864,","
22,24/4/2024,24/4/2024,0.0000822,","
22,25/4/2024,25/4/2024,0.000087,","
22,26/4/2024,26/4/2024,0.0000503,","
22,27/4/2024,27/4/2024,0.000102,","
22,28/4/2024,28/4/2024,0.000089,","
22,29/4/2024,29/4/2024,0.0000907,","
23,15/4/2024,15/4/2024,0.0000751,","
23,16/4/2024,16/4/2024,0.0000744,","
23,17/4/2024,17/4/2024,0.0000639,","
23,18/4/2024,18/4/2024,0.000104,","
23,19/4/2024,19/4/2024,0.0000665,","
23,20/4/2024,20/4/2024,0.0000852,","
23,21/4/2024,21/4/2024,0.0000804,","
23,22/4/2024,22/4/2024,0.0000938,","
23,23/4/2024,23/4/2024,0.0000868,","
23,24/4/2024,24/4/2024,0.0000819,","
23,25/4/2024,25/4/2024,0.0000863,","
23,26/4/2024,26/4/2024,0.0000455,","
23,27/4/2024,27/4/2024,0.000102,","
23,28/4/2024,28/4/2024,0.000091,","
23,29/4/2024,29/4/2024,0.0000868,","
24,15/4/2024,15/4/2024,0.0000726,","
24,16/4/2024,16/4/2024,0.0000722,","
24,17/4/2024,17/4/2024,0.0000711,","
24,18/4/2024,18/4/2024,0.0000934,","
24,19/4/2024,19/4/2024,0.0000646,","
24,20/4/2024,20/4/2024,0.0000775,","
24,21/4/2024,21/4/2024,0.0000802,","
24,22/4/2024,22/4/2024,0.0000735,","
24,23/4/2024,23/4/2024,0.0000838,","
24,24/4/2024,24/4/2024,0.0000775,","
24,25/4/2024,25/4/2024,0.0000763,","
24,26/4/2024,26/4/2024,0.0000478,","
24,27/4/2024,27/4/2024,0.000102,","
24,28/4/2024,28/4/2024,0.000083,","
24,29/4/2024,29/4/2024,0.0000879,","
25,15/4/2024,15/4/2024,0.0000661,","
25,16/4/2024,16/4/2024,0.0000815,","
25,17/4/2024,17/4/2024,0.0000758,","
25,18/4/2024,18/4/2024,0.00011,","
25,19/4/2024,19/4/2024,0.0000764,","
25,20/4/2024,20/4/2024,0.0000889,","
25,21/4/2024,21/4/2024,0.0001,","
25,22/4/2024,22/4/2024,0.000119,","
25,23/4/2024,23/4/2024,0.0000895,","
25,24/4/2024,24/4/2024,0.000103,","
25,25/4/2024,25/4/2024,0.0000882,","
25,26/4/2024,26/4/2024,0.0000819,","
25,27/4/2024,27/4/2024,0.0000864,","
25,28/4/2024,28/4/2024,0.000103,","
25,29/4/2024,29/4/2024,0.00012,","
26,15/4/2024,15/4/2024,0.0000668,","
26,16/4/2024,16/4/2024,0.0000827,","
26,17/4/2024,17/4/2024,0.0000688,","
26,18/4/2024,18/4/2024,0.00011,","
26,19/4/2024,19/4/2024,0.0000765,","
26,20/4/2024,20/4/2024,0.0000885,","
26,21/4/2024,21/4/2024,0.0000912,","
26,22/4/2024,22/4/2024,0.000115,","
26,23/4/2024,23/4/2024,0.0000891,","
26,24/4/2024,24/4/2024,0.000104,","
26,25/4/2024,25/4/2024,0.0000882,","
26,26/4/2024,26/4/2024,0.0000818,","
26,27/4/2024,27/4/2024,0.000096,","
26,28/4/2024,28/4/2024,0.000103,","
26,29/4/2024,29/4/2024,0.000102,","
27,15/4/2024,15/4/2024,0.0000753,","
27,16/4/2024,16/4/2024,0.0000841,","
27,17/4/2024,17/4/2024,0.0000558,","
27,18/4/2024,18/4/2024,0.000108,","
27,19/4/2024,19/4/2024,0.0000843,","
27,20/4/2024,20/4/2024,0.00009,","
27,21/4/2024,21/4/2024,0.0000833,","
27,22/4/2024,22/4/2024,0.000105,","
27,23/4/2024,23/4/2024,0.0000829,","
27,24/4/2024,24/4/2024,0.000103,","
27,25/4/2024,25/4/2024,0.0000847,","
27,26/4/2024,26/4/2024,0.0000822,","
27,27/4/2024,27/4/2024,0.000093,","
27,28/4/2024,28/4/2024,0.000102,","
27,29/4/2024,29/4/2024,0.000102,","
28,15/4/2024,15/4/2024,0.0000764,","
28,16/4/2024,16/4/2024,0.0000841,","
28,17/4/2024,17/4/2024,0.0000546,","
28,18/4/2024,18/4/2024,0.000102,","
28,19/4/2024,19/4/2024,0.0000835,","
28,20/4/2024,20/4/2024,0.0000911,","
28,21/4/2024,21/4/2024,0.0000813,","
28,22/4/2024,22/4/2024,0.000106,","
28,23/4/2024,23/4/2024,0.0000813,","
28,24/4/2024,24/4/2024,0.0000842,","
28,25/4/2024,25/4/2024,0.0000831,","
28,26/4/2024,26/4/2024,0.0000624,","
28,27/4/2024,27/4/2024,0.0000953,","
28,28/4/2024,28/4/2024,0.000082,","
28,29/4/2024,29/4/2024,0.0000933,","
29,15/4/2024,15/4/2024,0.0000746,","
29,16/4/2024,16/4/2024,0.0000818,","
29,17/4/2024,17/4/2024,0.0000586,","
29,18/4/2024,18/4/2024,0.000107,","
29,19/4/2024,19/4/2024,0.0000818,","
29,20/4/2024,20/4/2024,0.0000836,","
29,21/4/2024,21/4/2024,0.0000851,","
29,22/4/2024,22/4/2024,0.000107,","
29,23/4/2024,23/4/2024,0.0000894,","
29,24/4/2024,24/4/2024,0.0000978,","
29,25/4/2024,25/4/2024,0.0000849,","
29,26/4/2024,26/4/2024,0.0000774,","
29,27/4/2024,27/4/2024,0.0000991,","
29,28/4/2024,28/4/2024,0.000102,","
29,29/4/2024,29/4/2024,0.000104,","
3,15/4/2024,15/4/2024,0.000074,","
3,16/4/2024,16/4/2024,0.000077,","
3,17/4/2024,17/4/2024,0.0000665,","
3,18/4/2024,18/4/2024,0.000107,","
3,19/4/2024,19/4/2024,0.000067,","
3,20/4/2024,20/4/2024,0.0000913,","
3,21/4/2024,21/4/2024,0.000068,","
3,22/4/2024,22/4/2024,0.0000902,","
3,23/4/2024,23/4/2024,0.0000859,","
3,24/4/2024,24/4/2024,0.0000732,","
3,25/4/2024,25/4/2024,0.000087,","
3,26/4/2024,26/4/2024,0.0000605,","
3,27/4/2024,27/4/2024,0.0000957,","
3,28/4/2024,28/4/2024,0.0000907,","
3,29/4/2024,29/4/2024,0.000102,","
30,15/4/2024,15/4/2024,0.0000764,","
30,16/4/2024,16/4/2024,0.000083,","
30,17/4/2024,17/4/2024,0.0000573,","
30,18/4/2024,18/4/2024,0.000103,","
30,19/4/2024,19/4/2024,0.0000897,","
30,20/4/2024,20/4/2024,0.0000849,","
30,21/4/2024,21/4/2024,0.0000813,","
30,22/4/2024,22/4/2024,0.000105,","
30,23/4/2024,23/4/2024,0.000083,","
30,24/4/2024,24/4/2024,0.0000869,","
30,25/4/2024,25/4/2024,0.0000823,","
30,26/4/2024,26/4/2024,0.0000729,","
30,27/4/2024,27/4/2024,0.0000977,","
30,28/4/2024,28/4/2024,0.0000907,","
30,29/4/2024,29/4/2024,0.000101,","
4,15/4/2024,15/4/2024,0.000074,","
4,16/4/2024,16/4/2024,0.0000736,","
4,17/4/2024,17/4/2024,0.0000569,","
4,18/4/2024,18/4/2024,0.000106,","
4,19/4/2024,19/4/2024,0.000067,","
4,20/4/2024,20/4/2024,0.0000912,","
4,21/4/2024,21/4/2024,0.0000781,","
4,22/4/2024,22/4/2024,0.0000674,","
4,23/4/2024,23/4/2024,0.0000851,","
4,24/4/2024,24/4/2024,0.0000782,","
4,25/4/2024,25/4/2024,0.000087,","
4,26/4/2024,26/4/2024,0.0000586,","
4,27/4/2024,27/4/2024,0.000091,","
4,28/4/2024,28/4/2024,0.0000904,","
4,29/4/2024,29/4/2024,0.0000837,","
5,15/4/2024,15/4/2024,0.0000589,","
5,16/4/2024,16/4/2024,0.0000836,","
5,17/4/2024,17/4/2024,0.0000754,","
5,18/4/2024,18/4/2024,0.00012,","
5,19/4/2024,19/4/2024,0.0000689,","
5,20/4/2024,20/4/2024,0.0000895,","
5,21/4/2024,21/4/2024,0.0000883,","
5,22/4/2024,22/4/2024,0.00011,","
5,23/4/2024,23/4/2024,0.0000824,","
5,24/4/2024,24/4/2024,0.0000811,","
5,25/4/2024,25/4/2024,0.000101,","
5,26/4/2024,26/4/2024,0.0000822,","
5,27/4/2024,27/4/2024,0.0000612,","
5,28/4/2024,28/4/2024,0.0000925,","
5,29/4/2024,29/4/2024,0.0000987,","
6,15/4/2024,15/4/2024,0.0000656,","
6,16/4/2024,16/4/2024,0.0000841,","
6,17/4/2024,17/4/2024,0.000062,","
6,18/4/2024,18/4/2024,0.000116,","
6,19/4/2024,19/4/2024,0.0000685,","
6,20/4/2024,20/4/2024,0.0000911,","
6,21/4/2024,21/4/2024,0.0000813,","
6,22/4/2024,22/4/2024,0.000115,","
6,23/4/2024,23/4/2024,0.0000843,","
6,24/4/2024,24/4/2024,0.0000792,","
6,25/4/2024,25/4/2024,0.0000969,","
6,26/4/2024,26/4/2024,0.0000798,","
6,27/4/2024,27/4/2024,0.0000612,","
6,28/4/2024,28/4/2024,0.0000907,","
6,29/4/2024,29/4/2024,0.0000997,","
7,15/4/2024,15/4/2024,0.000074,","
7,16/4/2024,16/4/2024,0.0000808,","
7,17/4/2024,17/4/2024,0.0000645,","
7,18/4/2024,18/4/2024,0.000105,","
7,19/4/2024,19/4/2024,0.0000666,","
7,20/4/2024,20/4/2024,0.0000913,","
7,21/4/2024,21/4/2024,0.0000808,","
7,22/4/2024,22/4/2024,0.000114,","
7,23/4/2024,23/4/2024,0.000086,","
7,24/4/2024,24/4/2024,0.000072,","
7,25/4/2024,25/4/2024,0.000087,","
7,26/4/2024,26/4/2024,0.0000565,","
7,27/4/2024,27/4/2024,0.0000981,","
7,28/4/2024,28/4/2024,0.0000914,","
7,29/4/2024,29/4/2024,0.0000963,","
8,15/4/2024,15/4/2024,0.000074,","
8,16/4/2024,16/4/2024,0.0000752,","
8,17/4/2024,17/4/2024,0.0000617,","
8,18/4/2024,18/4/2024,0.000106,","
8,19/4/2024,19/4/2024,0.0000667,","
8,20/4/2024,20/4/2024,0.0000913,","
8,21/4/2024,21/4/2024,0.0000794,","
8,22/4/2024,22/4/2024,0.0000981,","
8,23/4/2024,23/4/2024,0.000086,","
8,24/4/2024,24/4/2024,0.0000695,","
8,25/4/2024,25/4/2024,0.000087,","
8,26/4/2024,26/4/2024,0.00005,","
8,27/4/2024,27/4/2024,0.000102,","
8,28/4/2024,28/4/2024,0.000091,","
8,29/4/2024,29/4/2024,0.0000905,","
9,15/4/2024,15/4/2024,0.0000736,","
9,16/4/2024,16/4/2024,0.0000722,","
9,17/4/2024,17/4/2024,0.0000556,","
9,18/4/2024,18/4/2024,0.000101,","
9,19/4/2024,19/4/2024,0.0000668,","
9,20/4/2024,20/4/2024,0.0000832,","
9,21/4/2024,21/4/2024,0.0000791,","
9,22/4/2024,22/4/2024,0.0000716,","
9,23/4/2024,23/4/2024,0.0000814,","
9,24/4/2024,24/4/2024,0.00007,","
9,25/4/2024,25/4/2024,0.0000821,","
9,26/4/2024,26/4/2024,0.0000516,","
9,27/4/2024,27/4/2024,0.000102,","
9,28/4/2024,28/4/2024,0.0000895,","
9,29/4/2024,29/4/2024,0.0000871,","
